Familienavn,Vitenskapelig navn,Slekt - Norsk,Art - Norsk,Sjikt,bilde_url,wikipedia_url,bilde_status
Rosaceae,Galium spp.,Korsknapp,Korsknapp,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Glechoma_hederacea_Bluszczyk_kurdybanek_001.jpg/500px-Glechoma_hederacea_Bluszczyk_kurdybanek_001.jpg,https://no.wikipedia.org/wiki/Korsknapp,FUNNET
Brassicaceae,Malcolmia maritima,Korsve,Korsve,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Malcolmia_maritima3.jpg/500px-Malcolmia_maritima3.jpg,https://en.wikipedia.org/wiki/Malcolmia_maritima,FUNNET
Asteraceae,Hieracium spp.,Humleblom,Kratthumleblom,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Geum_urbanum_Sturm44.jpg/500px-Geum_urbanum_Sturm44.jpg,https://no.wikipedia.org/wiki/Kratthumleblom,FUNNET
Ericaceae,Empetrum nigrum,Krekling,Krekling,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Empetrum_nigrum_Sturm22.jpg/500px-Empetrum_nigrum_Sturm22.jpg,https://no.wikipedia.org/wiki/Krekling,FUNNET
Brassicaceae,Erophila verna,Krossve,Krossve,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/MDF_Draba_verna_01.jpg/500px-MDF_Draba_verna_01.jpg,https://en.wikipedia.org/wiki/Draba_verna,FUNNET
Primulaceae,Anagallis arvensis,Krypsolei,Krypsolei,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/133_Anagallis_arvensis.jpg/500px-133_Anagallis_arvensis.jpg,https://no.wikipedia.org/wiki/Nonsblom,FUNNET
Primulaceae,Primula veris,Jonsokblom,Kvit jonsokblom,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Silene_latifolia_001.JPG/500px-Silene_latifolia_001.JPG,https://no.wikipedia.org/wiki/Hvit_jonsokblom,FUNNET
Cyperaceae,Carex acuta,Carex,Kvassdå,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Carex_acuta1.JPG/500px-Carex_acuta1.JPG,https://en.wikipedia.org/wiki/Carex_acuta,FUNNET
Poaceae,Elymus repens,Agropyron,Kveke,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Elytrigia_repens_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-203.jpg/500px-Elytrigia_repens_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-203.jpg,https://no.wikipedia.org/wiki/Kveke,FUNNET
Ericaceae,Ledum palustre,Kvitlyng,Kvitlyng,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Andromeda-polifolia-flowers.JPG/500px-Andromeda-polifolia-flowers.JPG,https://no.wikipedia.org/wiki/Kvitlyng,FUNNET
Asparagaceae,Convallaria majalis,Konvall,Linjekonvall,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Convallaria_majalis_inflorescence_-_Keila.jpg/500px-Convallaria_majalis_inflorescence_-_Keila.jpg,https://no.wikipedia.org/wiki/Liljekonvall,FUNNET
Lamiaceae,Scutellaria galericulata,Torskemunn,Lintorskemunn,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Linaria_vulgaris_flowers_-_Keila.jpg/500px-Linaria_vulgaris_flowers_-_Keila.jpg,https://no.wikipedia.org/wiki/Lintorskemunn,FUNNET
