Norsk navn,Latinsk navn,Familie,Type,bilde_url,norskflora_url,bilde_status
Dvergbjørk,Betula nana,Bjørkefamilien,Tre/busk,https://norskflora.no/plante/?sle=Betula&art=nana,https://bilder.norskflora.no/orig/mentzii372.jpg,FUNNET,
Dvergmispel,Cotoneaster integerrimus,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Cotoneaster&art=integerrimus,https://bilder.norskflora.no/orig/mentzii287.jpg,FUNNET,
Einer,Juniperus communis,Sypressfamilien,Tre/busk,https://norskflora.no/plante/?sle=Juniperus&art=communis,https://bilder.norskflora.no/orig/mentzii497.jpg,FUNNET,
Engforglemmegei,Myosotis scorpioides,Rubladfamilien,Urt/staude,https://norskflora.no/plante/?sle=Myosotis&art=scorpioides,https://bilder.norskflora.no/orig/mentzi81.jpg,FUNNET,
Enghumleblom,Geum rivale,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Geum&art=rivale,https://bilder.norskflora.no/orig/mentzii304.jpg,FUNNET,
Engknoppurt,Centaurea jacea,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Centaurea&art=jacea,https://bilder.norskflora.no/orig/floradanica_0519.jpg,FUNNET,
Engnellik,Dianthus deltoides,Nellikfamilien,Urt/staude,https://norskflora.no/plante/?sle=Dianthus&art=deltoides,https://bilder.norskflora.no/orig/floradanica_0577.jpg,FUNNET,
Engsmelle,Geranium pratense,Storkenebbfamilien,Urt/staude,https://norskflora.no/plante/?sle=Geranium&art=pratense,https://bilder.norskflora.no/kvadrat300px/floradanica_0218.jpg,FUNNET,
Engtjæreblom,Viscaria vulgaris,Nellikfamilien,Urt/staude,https://norskflora.no/plante/?sle=Viscaria&art=vulgaris,https://bilder.norskflora.no/orig/floradanica_1032.jpg,FUNNET,
Eplerose,Rosa rubiginosa,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rosa&art=rubiginosa,https://bilder.norskflora.no/orig/mentzii292.jpg,FUNNET,
Fagerklokke,Campanula persicifolia,Klokkefamilien,Urt/staude,https://norskflora.no/plante/?sle=Campanula&art=persicifolia,https://bilder.norskflora.no/orig/mentziv561.jpg,FUNNET,
Fagerknoppurt,Centaurea scabiosa,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Centaurea&art=scabiosa,https://bilder.norskflora.no/orig/mentzi8.jpg,FUNNET,
Fagerrogn,Hedlundia meinichii,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Hedlundia&art=meinichii,https://bilder.norskflora.no/orig/Klaus_Hoiland_2674.jpg,FUNNET,
Falkbregne,Polystichum aculeatum,Stortelgfamilien,Bregne,https://norskflora.no/plante/?sle=Polystichum&art=aculeatum,https://bilder.norskflora.no/orig/floradanica_2559.jpg,FUNNET,
Filtkongslys,Verbascum thapsus,Brunrotfamilien,Urt/staude,https://norskflora.no/plante/?sle=Verbascum&art=thapsus,https://bilder.norskflora.no/orig/mentzi111.jpg,FUNNET,
Finnmarkspors,Rhododendron tomentosum,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Rhododendron&art=tomentosum,https://bilder.norskflora.no/orig/mentzi151.jpg,FUNNET,
Finnrose,Rosa acicularis,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rosa&art=acicularis,https://bilder.norskflora.no/orig/floradanica_S0075.jpg,FUNNET,
Firkantperikum,Hypericum maculatum,Perikumfamilien,Urt/staude,https://norskflora.no/plante/?sle=Hypericum&art=maculatum,https://bilder.norskflora.no/orig/floradanica_2836.jpg,FUNNET,
Fjell-lok,Cystopteris montana,Storburknefamilien,Bregne,https://norskflora.no/plante/?sle=Cystopteris&art=montana,https://bilder.norskflora.no/orig/floradanica_2250.jpg,FUNNET,
Fjellflokk,Polemonium caeruleum,Fjellflokkfamilien,Urt/staude,https://norskflora.no/plante/?sle=Polemonium&art=caeruleum,https://bilder.norskflora.no/orig/mentzi107.jpg,FUNNET,
Fjellfrøstjerne,Thalictrum alpinum,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Thalictrum&art=alpinum,https://bilder.norskflora.no/orig/floradanica_0011.jpg,FUNNET,
Fjellmarikåpe,Alchemilla alpina,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Alchemilla&art=alpina,https://bilder.norskflora.no/orig/sturm13_31.jpg,FUNNET,
Fjellnøkleblom,Primula scandinavica,Nøkleblomfamilien,Urt/staude,https://norskflora.no/plante/?sle=Primula&art=scandinavica,https://bilder.norskflora.no/orig/bostrom1.jpg,FUNNET,
Fjellskrinneblom,Arabis alpina,Korsblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Arabis&art=alpina,https://bilder.norskflora.no/orig/mentzi195.jpg,FUNNET,
Fjellsmelle,Silene acaulis,Nellikfamilien,Urt/staude,https://norskflora.no/plante/?sle=Silene&art=acaulis,https://bilder.norskflora.no/orig/mentziv629.jpg,FUNNET,
Fjellvalmue,Papaver radicatum,Valmuefamilien,Urt/staude,https://norskflora.no/plante/?sle=Papaver&art=radicatum,https://bilder.norskflora.no/orig/floradanica_0041.jpg,FUNNET,
Fjærekoll,Armeria maritima,Hinnebegerfamilien,Urt/staude,https://norskflora.no/plante/?sle=Armeria&art=maritima,https://bilder.norskflora.no/orig/mentzi140.jpg,FUNNET,
Fjæresauløk,Triglochin maritima,Sauløkfamilien,Urt/staude,https://norskflora.no/plante/?sle=Triglochin&art=maritima,https://bilder.norskflora.no/orig/floradanica_0306.jpg,FUNNET,
Flaskestarr,Carex rostrata,Starrfamilien,Gressplante,https://norskflora.no/plante/?sle=Carex&art=rostrata,https://bilder.norskflora.no/orig/mentzii439.jpg,FUNNET,
Fredløs,Lysimachia vulgaris,Nøkleblomfamilien,Urt/staude,https://norskflora.no/plante/?sle=Lysimachia&art=vulgaris,https://bilder.norskflora.no/orig/mentzi132.jpg,FUNNET,
Froskebitt,Hydrocharis morsus-ranae,Froskebittfamilien,Urt/staude,https://norskflora.no/plante/?sle=Hydrocharis&art=morsus-ranae,https://bilder.norskflora.no/orig/mentzii480.jpg,FUNNET,
Fugletelg,Gymnocarpium dryopteris,Storburknefamilien,Bregne,https://norskflora.no/plante/?sle=Gymnocarpium&art=dryopteris,https://bilder.norskflora.no/orig/floradanica_1943.jpg,FUNNET,
Fuglevikke,Vicia cracca,Erteblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Vicia&art=cracca,https://bilder.norskflora.no/orig/floradanica_0804.jpg,FUNNET,
Furu,Pinus sylvestris,Furufamilien,Tre/busk,https://norskflora.no/plante/?sle=Pinus&art=sylvestris,https://bilder.norskflora.no/orig/IMG_2095.jpg,FUNNET,
Furuvintergrønn,Pyrola chlorantha,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Pyrola&art=chlorantha,https://bilder.norskflora.no/orig/floradanica_1693.jpg,FUNNET,
Geitskjegg,Tragopogon pratensis,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Tragopogon&art=pratensis,https://bilder.norskflora.no/orig/mentzi39.jpg,FUNNET,
Geittelg,Dryopteris dilatata,Stortelgfamilien,Bregne,https://norskflora.no/plante/?sle=Dryopteris&art=dilatata,https://bilder.norskflora.no/orig/floradanica_0759.jpg,FUNNET,
Geitved,Rhamnus cathartica,Trollheggfamilien,Tre/busk,https://norskflora.no/plante/?sle=Rhamnus&art=cathartica,https://bilder.norskflora.no/orig/mentzi240.jpg,FUNNET,
