norsk_navn,latinsk_navn,familie,type,norskflora_url,wikipedia_url,wikipedia_image_url,wikipedia_image_file,wikipedia_status
Krypvier,Salix repens,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=repens,https://en.wikipedia.org/wiki/Salix_repens,https://upload.wikimedia.org/wikipedia/commons/5/51/Salix-repens-flowering.JPG,,FUNNET
Kubjelle,Pulsatilla pratensis,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Pulsatilla&art=pratensis,https://en.wikipedia.org/wiki/Pulsatilla_pratensis,https://upload.wikimedia.org/wikipedia/commons/c/ca/Pulsatilla_pratensis_subsp._bohemica2.jpg,,FUNNET
Kusymre,Primula vulgaris,Nøkleblomfamilien,Urt/staude,https://norskflora.no/plante/?sle=Primula&art=vulgaris,https://en.wikipedia.org/wiki/Primula_vulgaris,https://upload.wikimedia.org/wikipedia/commons/a/ad/Prole%C4%87no_cve%C4%87e_3.JPG,,FUNNET
Kvann,Angelica archangelica,Skjermplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Angelica&art=archangelica,https://en.wikipedia.org/wiki/Angelica_archangelica,https://upload.wikimedia.org/wikipedia/commons/3/3b/Koehler1887-GardenAngelica.jpg,,FUNNET
Kvass-starr,Carex acuta,Starrfamilien,Gressplante,https://norskflora.no/plante/?sle=Carex&art=acuta,https://en.wikipedia.org/wiki/Carex_acuta,https://upload.wikimedia.org/wikipedia/commons/9/9b/Carex_acuta1.JPG,,FUNNET
Kvassdå,Galeopsis tetrahit,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Galeopsis&art=tetrahit,https://en.wikipedia.org/wiki/Galeopsis_tetrahit,https://upload.wikimedia.org/wikipedia/commons/f/fc/Galeopsis_tetrahit_-_kare_k%C3%B5rvik_Keilas.jpg,,FUNNET
Kystbjørnekjeks,Heracleum sphondylium,Skjermplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Heracleum&art=sphondylium,https://en.wikipedia.org/wiki/Heracleum_sphondylium,https://upload.wikimedia.org/wikipedia/commons/0/02/Heracleum_sphondylium_Berenklauw.jpg,,FUNNET
Kystfrøstjerne,Thalictrum minus,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Thalictrum&art=minus,https://en.wikipedia.org/wiki/Thalictrum_minus,https://upload.wikimedia.org/wikipedia/commons/0/04/Thalictrum_minus_1.jpg,,FUNNET
Lapprose,Rhododendron lapponicum,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Rhododendron&art=lapponicum,https://en.wikipedia.org/wiki/Rhododendron_lapponicum,https://upload.wikimedia.org/wikipedia/commons/5/59/Rhododendron_lapponicum_%287833321068%29.jpg,,FUNNET
Lappvier,Salix lapponum,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=lapponum,https://en.wikipedia.org/wiki/Salix_lapponum,https://upload.wikimedia.org/wikipedia/commons/5/50/Salix_lapponum_General_view.JPG,,FUNNET
Leddved,Lonicera xylosteum,Kaprifolfamilien,Tre/busk,https://norskflora.no/plante/?sle=Lonicera&art=xylosteum,https://en.wikipedia.org/wiki/Lonicera_xylosteum,https://upload.wikimedia.org/wikipedia/commons/b/be/Lonicera_xylosteum_flowers.jpg,,FUNNET
Legevendelrot,Valeriana officinalis,Kaprifolfamilien,Urt/staude,https://norskflora.no/plante/?sle=Valeriana&art=officinalis,https://en.wikipedia.org/wiki/Valeriana,https://upload.wikimedia.org/wikipedia/commons/0/03/Valeriana_officinalis_002.JPG,,FUNNET
Legeveronika,Veronica officinalis,Maskeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Veronica&art=officinalis,https://en.wikipedia.org/wiki/Veronica_officinalis,https://upload.wikimedia.org/wikipedia/commons/7/71/Veronica_officinalis-53.jpg,,FUNNET
Lerkespore,Corydalis intermedia,Valmuefamilien,Urt/staude,https://norskflora.no/plante/?sle=Corydalis&art=intermedia,https://en.wikipedia.org/wiki/Corydalis_intermedia,https://upload.wikimedia.org/wikipedia/commons/6/61/Corydalis_intermedia1.jpg,,FUNNET
Liguster,Ligustrum vulgare,Oliventrefamilien,Tre/busk,https://norskflora.no/plante/?sle=Ligustrum&art=vulgare,https://en.wikipedia.org/wiki/Ligustrum_vulgare,https://upload.wikimedia.org/wikipedia/commons/f/f4/Wilde_liguster_%28Ligustrum_vulgare%29.jpg,,FUNNET
Liljekonvall,Convallaria majalis,Aspargesfamilien,Urt/staude,https://norskflora.no/plante/?sle=Convallaria&art=majalis,https://en.wikipedia.org/wiki/Lily_of_the_valley,https://upload.wikimedia.org/wikipedia/commons/f/f9/Convallaria_majalis_inflorescence_-_Keila.jpg,,FUNNET
Linnea,Linnaea borealis,Kaprifolfamilien,Urt/staude,https://norskflora.no/plante/?sle=Linnaea&art=borealis,https://en.wikipedia.org/wiki/Linnaea,https://upload.wikimedia.org/wikipedia/commons/1/17/Linnaea_borealis%2C_Altevatn%2C_Bardu%2C_Troms%2C_Norway_1.jpg,,FUNNET
Lintorskemunn,Linaria vulgaris,Maskeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Linaria&art=vulgaris,https://en.wikipedia.org/wiki/Linaria_vulgaris,https://upload.wikimedia.org/wikipedia/commons/7/74/Linaria_vulgaris_flowers_-_Keila.jpg,,FUNNET
Lodneperikum,Hypericum hirsutum,Perikumfamilien,Urt/staude,https://norskflora.no/plante/?sle=Hypericum&art=hirsutum,https://en.wikipedia.org/wiki/Hypericum_hirsutum,https://upload.wikimedia.org/wikipedia/commons/7/76/Hypericum_hirsutum_coteau-charteves_02_23062007_2.jpg,,FUNNET
Løvetann,Taraxacum officinale,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Taraxacum&art=officinale,https://en.wikipedia.org/wiki/Taraxacum_officinale,https://upload.wikimedia.org/wikipedia/commons/b/b2/Taraxacum_officinale_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-135.jpg,,FUNNET
Maigull,Chrysosplenium alternifolium,Sildrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Chrysosplenium&art=alternifolium,https://en.wikipedia.org/wiki/Chrysosplenium_alternifolium,https://upload.wikimedia.org/wikipedia/commons/a/a2/Chrysosplenium_alternifolium_%28Retournemer%29.JPG,,FUNNET
Malurt,Artemisia absinthium,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Artemisia&art=absinthium,https://en.wikipedia.org/wiki/Artemisia_absinthium,https://upload.wikimedia.org/wikipedia/commons/e/eb/Artemisia_absinthium_P1210748.jpg,,FUNNET
Mandelpil,Salix triandra,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=triandra,https://en.wikipedia.org/wiki/Salix_triandra,https://upload.wikimedia.org/wikipedia/commons/d/d1/Salix_triandra_female_flower.jpg,,FUNNET
Marehalm,Calamagrostis arenaria,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Calamagrostis&art=arenaria,https://en.wikipedia.org/wiki/Ammophila_arenaria,https://upload.wikimedia.org/wikipedia/commons/6/6a/Hvid_klit.jpg,,FUNNET
Marianøkleblom,Primula veris,Nøkleblomfamilien,Urt/staude,https://norskflora.no/plante/?sle=Primula&art=veris,https://en.wikipedia.org/wiki/Primula_veris,https://upload.wikimedia.org/wikipedia/commons/3/31/Primula_veris_230405.jpg,,FUNNET
Marigress,Anthoxanthum nitens,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Anthoxanthum&art=nitens,https://en.wikipedia.org/wiki/Hierochloe_odorata,https://upload.wikimedia.org/wikipedia/commons/8/81/Hierochloe_odorata_%28USDA%29.jpg,,FUNNET
Marisko,Cypripedium calceolus,Orkidéfamilien,Urt/staude,https://norskflora.no/plante/?sle=Cypripedium&art=calceolus,https://en.wikipedia.org/wiki/Cypripedium_calceolus,https://upload.wikimedia.org/wikipedia/commons/7/74/Cypripedium_calceolus_wiki_mg-k01.jpg,,FUNNET
Markjordbær,Fragaria vesca,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Fragaria&art=vesca,https://en.wikipedia.org/wiki/Fragaria_vesca,https://upload.wikimedia.org/wikipedia/commons/1/1f/Illustration_Fragaria_vesca0.jpg,,FUNNET
Marsfiol,Viola odorata,Fiolfamilien,Urt/staude,https://norskflora.no/plante/?sle=Viola&art=odorata,https://en.wikipedia.org/wiki/Viola_odorata,https://upload.wikimedia.org/wikipedia/commons/7/7a/Viola_odorata_fg01.JPG,,FUNNET
Melbær,Arctostaphylos uva-ursi,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Arctostaphylos&art=uva-ursi,https://en.wikipedia.org/wiki/Arctostaphylos_uva-ursi,https://upload.wikimedia.org/wikipedia/commons/d/d8/Arctostaphylos_uva-ursi_25924.JPG,,FUNNET
Misteltein,Viscum album,Mistelteinfamilien,Urt/staude,https://norskflora.no/plante/?sle=Viscum&art=album,https://en.wikipedia.org/wiki/Viscum_album,https://upload.wikimedia.org/wikipedia/commons/c/c5/Mistletoe_in_White_Poplar_1.jpg,,FUNNET
Mjødurt,Filipendula ulmaria,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Filipendula&art=ulmaria,https://en.wikipedia.org/wiki/Filipendula_ulmaria,https://upload.wikimedia.org/wikipedia/commons/3/37/20140715Filipendula_ulmaria.jpg,,FUNNET
Mogop,Anemone vernalis,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Anemone&art=vernalis,https://en.wikipedia.org/wiki/Pulsatilla_vernalis,https://upload.wikimedia.org/wikipedia/commons/c/c3/Anemone_vernalis%2C_near_Plagne_Soleil%2C_La_Plagne_Tarentaise%2C_2017.jpg,,FUNNET
